Accession	EntryName	GeneID	TaxID	EnsemblGeneID	GeneSymbol	Description	Type
Q13639	5HT4R_HUMAN	3360	9606	ENSG00000164270	HTR4	5-hydroxytryptamine receptor 4	protein-coding
P47898	5HT5A_HUMAN	3361	9606	ENSG00000157219	HTR5A	5-hydroxytryptamine receptor 5A	protein-coding
P50406	5HT6R_HUMAN	3362	9606	ENSG00000158748	HTR6	5-hydroxytryptamine receptor 6	protein-coding
P34969	5HT7R_HUMAN	3363	9606	ENSG00000148680	HTR7	5-hydroxytryptamine receptor 7	protein-coding
Q9Y6E2	5MP1_HUMAN	28969	9606	ENSG00000136261	BZW2	basic leucine zipper and W2 domains 2	protein-coding
Q7L1Q6	5MP2_HUMAN	9689	9606	ENSG00000082153	BZW1	basic leucine zipper and W2 domains 1	protein-coding
Q9BXI3	5NT1A_HUMAN	84618	9606	ENSG00000116981	NT5C1A	5'-nucleotidase, cytosolic IA	protein-coding
Q96P26	5NT1B_HUMAN	100526794	9606	ENSG00000185013	NT5C1B-RDH14	NT5C1B-RDH14 readthrough	protein-coding
Q96P26	5NT1B_HUMAN	93034	9606	ENSG00000185013	NT5C1B	5'-nucleotidase, cytosolic IB	protein-coding
Q9H0P0	5NT3A_HUMAN	51251	9606	ENSG00000122643	NT5C3A	5'-nucleotidase, cytosolic IIIA	protein-coding
Q969T7	5NT3B_HUMAN	115024	9606	ENSG00000141698	NT5C3B	5'-nucleotidase, cytosolic IIIB	protein-coding
P49902	5NTC_HUMAN	22978	9606	ENSG00000076685	NT5C2	5'-nucleotidase, cytosolic II	protein-coding
P21589	5NTD_HUMAN	4907	9606	ENSG00000135318	NT5E	5'-nucleotidase ecto	protein-coding
P52209	6PGD_HUMAN	5226	9606	ENSG00000142657	PGD	phosphogluconate dehydrogenase	protein-coding
O95336	6PGL_HUMAN	25796	9606	ENSG00000130313	PGLS	6-phosphogluconolactonase	protein-coding
P05408	7B2_HUMAN	6447	9606	ENSG00000166922	SCG5	secretogranin V	protein-coding
P05408	7B2_HUMAN	6447	9606	ENSG00000277614	SCG5	secretogranin V	protein-coding
P05408	7B2_HUMAN	6447	9606	ENSG00000281931	SCG5	secretogranin V	protein-coding
P36639	8ODP_HUMAN	4521	9606	ENSG00000106268	NUDT1	nudix hydrolase 1	protein-coding
P0DKL9	A14EL_HUMAN	644100	9606	ENSG00000268223	ARL14EPL	ADP ribosylation factor like GTPase 14 effector protein like	protein-coding
Q8IZ83	A16A1_HUMAN	126133	9606	ENSG00000161618	ALDH16A1	aldehyde dehydrogenase 16 family member A1	protein-coding
Q676U5	A16L1_HUMAN	55054	9606	ENSG00000085978	ATG16L1	autophagy related 16 like 1	protein-coding
Q676U5	A16L1_HUMAN	55054	9606	ENSG00000281089	ATG16L1	autophagy related 16 like 1	protein-coding
Q8NAA4	A16L2_HUMAN	89849	9606	ENSG00000168010	ATG16L2	autophagy related 16 like 2	protein-coding
P02763	A1AG1_HUMAN	5004	9606	ENSG00000229314	ORM1	orosomucoid 1	protein-coding
P19652	A1AG2_HUMAN	5005	9606	ENSG00000228278	ORM2	orosomucoid 2	protein-coding
P01009	A1AT_HUMAN	5265	9606	ENSG00000197249	SERPINA1	serpin family A member 1	protein-coding
P04217	A1BG_HUMAN	1	9606	ENSG00000121410	A1BG	alpha-1-B glycoprotein	protein-coding
Q9NQ94	A1CF_HUMAN	29974	9606	ENSG00000148584	A1CF	APOBEC1 complementation factor	protein-coding
Q5TYW2	A20A1_HUMAN	84210	9606	ENSG00000260691	ANKRD20A1	ankyrin repeat domain 20 family member A1	protein-coding
P08697	A2AP_HUMAN	5345	9606	ENSG00000167711	SERPINF2	serpin family F member 2	protein-coding
P08697	A2AP_HUMAN	5345	9606	ENSG00000276838	SERPINF2	serpin family F member 2	protein-coding
P02750	A2GL_HUMAN	116844	9606	ENSG00000171236	LRG1	leucine rich alpha-2-glycoprotein 1	protein-coding
P01023	A2MG_HUMAN	2	9606	ENSG00000175899	A2M	alpha-2-macroglobulin	protein-coding
A8K2U0	A2ML1_HUMAN	144568	9606	ENSG00000166535	A2ML1	alpha-2-macroglobulin like 1	protein-coding
U3KPV4	A3LT2_HUMAN	127550	9606	ENSG00000184389	A3GALT2	alpha 1,3-galactosyltransferase 2	protein-coding
Q9NPC4	A4GAT_HUMAN	53947	9606	ENSG00000128274	A4GALT	alpha 1,4-galactosyltransferase (P blood group)	protein-coding
Q9UNA3	A4GCT_HUMAN	51146	9606	ENSG00000118017	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	protein-coding
P05067	A4_HUMAN	351	9606	ENSG00000142192	APP	amyloid beta precursor protein	protein-coding
Q96GX2	A7L3B_HUMAN	552889	9606	ENSG00000253719	ATXN7L3B	ataxin 7 like 3B	protein-coding
P30542	AA1R_HUMAN	134	9606	ENSG00000163485	ADORA1	adenosine A1 receptor	protein-coding
P29274	AA2AR_HUMAN	135	9606	ENSG00000128271	ADORA2A	adenosine A2a receptor	protein-coding
P29275	AA2BR_HUMAN	136	9606	ENSG00000170425	ADORA2B	adenosine A2b receptor	protein-coding
P0DMS8	AA3R_HUMAN	140	9606	ENSG00000282608	ADORA3	adenosine A3 receptor	protein-coding
Q9NS82	AAA1_HUMAN	56301	9606	ENSG00000130876	SLC7A10	solute carrier family 7 member 10	protein-coding
P22760	AAAD_HUMAN	13	9606	ENSG00000114771	AADAC	arylacetamide deacetylase	protein-coding
Q9NRG9	AAAS_HUMAN	8086	9606	ENSG00000094914	AAAS	aladin WD repeat nucleoporin	protein-coding
Q15758	AAAT_HUMAN	6510	9606	ENSG00000105281	SLC1A5	solute carrier family 1 member 5	protein-coding
Q86V21	AACS_HUMAN	65985	9606	ENSG00000081760	AACS	acetoacetyl-CoA synthetase	protein-coding
P01011	AACT_HUMAN	12	9606	ENSG00000196136	SERPINA3	serpin family A member 3	protein-coding
Q8N5Z0	AADAT_HUMAN	51166	9606	ENSG00000109576	AADAT	aminoadipate aminotransferase	protein-coding
Q6PD74	AAGAB_HUMAN	79719	9606	ENSG00000103591	AAGAB	alpha and gamma adaptin binding protein	protein-coding
Q2M2I8	AAK1_HUMAN	22848	9606	ENSG00000115977	AAK1	AP2 associated kinase 1	protein-coding
Q9Y478	AAKB1_HUMAN	5564	9606	ENSG00000111725	PRKAB1	protein kinase AMP-activated non-catalytic subunit beta 1	protein-coding
O43741	AAKB2_HUMAN	5565	9606	ENSG00000131791	PRKAB2	protein kinase AMP-activated non-catalytic subunit beta 2	protein-coding
P54619	AAKG1_HUMAN	5571	9606	ENSG00000181929	PRKAG1	protein kinase AMP-activated non-catalytic subunit gamma 1	protein-coding
Q9UGJ0	AAKG2_HUMAN	51422	9606	ENSG00000106617	PRKAG2	protein kinase AMP-activated non-catalytic subunit gamma 2	protein-coding
Q9UGI9	AAKG3_HUMAN	53632	9606	ENSG00000115592	PRKAG3	protein kinase AMP-activated non-catalytic subunit gamma 3	protein-coding
Q9H7C9	AAMDC_HUMAN	28971	9606	ENSG00000087884	AAMDC	adipogenesis associated Mth938 domain containing	protein-coding
Q13685	AAMP_HUMAN	14	9606	ENSG00000127837	AAMP	angio associated migratory cell protein	protein-coding
Q13131	AAPK1_HUMAN	5562	9606	ENSG00000132356	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1	protein-coding
P54646	AAPK2_HUMAN	5563	9606	ENSG00000162409	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2	protein-coding
Q9Y312	AAR2_HUMAN	25980	9606	ENSG00000131043	AAR2	AAR2 splicing factor	protein-coding
Q4LEZ3	AARD_HUMAN	441376	9606	ENSG00000205002	AARD	alanine and arginine rich domain containing protein	protein-coding
Q9BTE6	AASD1_HUMAN	100885850	9606	ENSG00000108825	PTGES3L-AARSD1	PTGES3L-AARSD1 readthrough	protein-coding
Q9BTE6	AASD1_HUMAN	100885850	9606	ENSG00000266967	PTGES3L-AARSD1	PTGES3L-AARSD1 readthrough	protein-coding
Q9BTE6	AASD1_HUMAN	80755	9606	ENSG00000108825	AARSD1	alanyl-tRNA synthetase domain containing 1	protein-coding
Q9BTE6	AASD1_HUMAN	80755	9606	ENSG00000266967	AARSD1	alanyl-tRNA synthetase domain containing 1	protein-coding
Q9UDR5	AASS_HUMAN	10157	9606	ENSG00000008311	AASS	aminoadipate-semialdehyde synthase	protein-coding
Q8NHS2	AATC2_HUMAN	137362	9606	ENSG00000169154	GOT1L1	glutamic-oxaloacetic transaminase 1 like 1	protein-coding
P17174	AATC_HUMAN	2805	9606	ENSG00000120053	GOT1	glutamic-oxaloacetic transaminase 1	protein-coding
Q9NY61	AATF_HUMAN	26574	9606	ENSG00000275700	AATF	apoptosis antagonizing transcription factor	protein-coding
Q9NY61	AATF_HUMAN	26574	9606	ENSG00000276072	AATF	apoptosis antagonizing transcription factor	protein-coding
P00505	AATM_HUMAN	2806	9606	ENSG00000125166	GOT2	glutamic-oxaloacetic transaminase 2	protein-coding
Q7Z5M8	AB12B_HUMAN	145447	9606	ENSG00000131969	ABHD12B	abhydrolase domain containing 12B	protein-coding
Q96GS6	AB17A_HUMAN	81926	9606	ENSG00000129968	ABHD17A	abhydrolase domain containing 17A, depalmitoylase	protein-coding
Q5VST6	AB17B_HUMAN	51104	9606	ENSG00000107362	ABHD17B	abhydrolase domain containing 17B, depalmitoylase	protein-coding
Q6PCB6	AB17C_HUMAN	58489	9606	ENSG00000136379	ABHD17C	abhydrolase domain containing 17C, depalmitoylase	protein-coding
Q7Z5R6	AB1IP_HUMAN	54518	9606	ENSG00000077420	APBB1IP	amyloid beta precursor protein binding family B member 1 interacting protein	protein-coding
P31941	ABC3A_HUMAN	100913187	9606	ENSG00000128383	APOBEC3A_B	APOBEC3A and APOBEC3B deletion hybrid	protein-coding
P31941	ABC3A_HUMAN	100913187	9606	ENSG00000262156	APOBEC3A_B	APOBEC3A and APOBEC3B deletion hybrid	protein-coding
P31941	ABC3A_HUMAN	200315	9606	ENSG00000128383	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A	protein-coding
P31941	ABC3A_HUMAN	200315	9606	ENSG00000262156	APOBEC3A	apolipoprotein B mRNA editing enzyme catalytic subunit 3A	protein-coding
Q9UH17	ABC3B_HUMAN	9582	9606	ENSG00000179750	APOBEC3B	apolipoprotein B mRNA editing enzyme catalytic subunit 3B	protein-coding
Q9NRW3	ABC3C_HUMAN	27350	9606	ENSG00000244509	APOBEC3C	apolipoprotein B mRNA editing enzyme catalytic subunit 3C	protein-coding
Q8IUX4	ABC3F_HUMAN	200316	9606	ENSG00000128394	APOBEC3F	apolipoprotein B mRNA editing enzyme catalytic subunit 3F	protein-coding
Q9HC16	ABC3G_HUMAN	60489	9606	ENSG00000239713	APOBEC3G	apolipoprotein B mRNA editing enzyme catalytic subunit 3G	protein-coding
Q6NTF7	ABC3H_HUMAN	164668	9606	ENSG00000100298	APOBEC3H	apolipoprotein B mRNA editing enzyme catalytic subunit 3H	protein-coding
O95477	ABCA1_HUMAN	19	9606	ENSG00000165029	ABCA1	ATP binding cassette subfamily A member 1	protein-coding
Q9BZC7	ABCA2_HUMAN	20	9606	ENSG00000107331	ABCA2	ATP binding cassette subfamily A member 2	protein-coding
Q99758	ABCA3_HUMAN	21	9606	ENSG00000167972	ABCA3	ATP binding cassette subfamily A member 3	protein-coding
P78363	ABCA4_HUMAN	24	9606	ENSG00000198691	ABCA4	ATP binding cassette subfamily A member 4	protein-coding
Q8WWZ7	ABCA5_HUMAN	23461	9606	ENSG00000154265	ABCA5	ATP binding cassette subfamily A member 5	protein-coding
Q8N139	ABCA6_HUMAN	23460	9606	ENSG00000154262	ABCA6	ATP binding cassette subfamily A member 6	protein-coding
Q8IZY2	ABCA7_HUMAN	10347	9606	ENSG00000064687	ABCA7	ATP binding cassette subfamily A member 7	protein-coding
O94911	ABCA8_HUMAN	10351	9606	ENSG00000141338	ABCA8	ATP binding cassette subfamily A member 8	protein-coding
Q8IUA7	ABCA9_HUMAN	10350	9606	ENSG00000154258	ABCA9	ATP binding cassette subfamily A member 9	protein-coding
Q8WWZ4	ABCAA_HUMAN	10349	9606	ENSG00000154263	ABCA10	ATP binding cassette subfamily A member 10	protein-coding
Q86UK0	ABCAC_HUMAN	26154	9606	ENSG00000144452	ABCA12	ATP binding cassette subfamily A member 12	protein-coding
Q86UQ4	ABCAD_HUMAN	154664	9606	ENSG00000179869	ABCA13	ATP binding cassette subfamily A member 13	protein-coding
Q2M3G0	ABCB5_HUMAN	340273	9606	ENSG00000004846	ABCB5	ATP binding cassette subfamily B member 5	protein-coding
Q9NP58	ABCB6_HUMAN	10058	9606	ENSG00000115657	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	protein-coding
O75027	ABCB7_HUMAN	22	9606	ENSG00000131269	ABCB7	ATP binding cassette subfamily B member 7	protein-coding
Q9NP78	ABCB9_HUMAN	23457	9606	ENSG00000150967	ABCB9	ATP binding cassette subfamily B member 9	protein-coding
Q9NRK6	ABCBA_HUMAN	23456	9606	ENSG00000135776	ABCB10	ATP binding cassette subfamily B member 10	protein-coding
O95342	ABCBB_HUMAN	8647	9606	ENSG00000073734	ABCB11	ATP binding cassette subfamily B member 11	protein-coding
Q09428	ABCC8_HUMAN	6833	9606	ENSG00000006071	ABCC8	ATP binding cassette subfamily C member 8	protein-coding
O60706	ABCC9_HUMAN	10060	9606	ENSG00000069431	ABCC9	ATP binding cassette subfamily C member 9	protein-coding
P33897	ABCD1_HUMAN	215	9606	ENSG00000101986	ABCD1	ATP binding cassette subfamily D member 1	protein-coding
Q9UBJ2	ABCD2_HUMAN	225	9606	ENSG00000173208	ABCD2	ATP binding cassette subfamily D member 2	protein-coding
P28288	ABCD3_HUMAN	5825	9606	ENSG00000117528	ABCD3	ATP binding cassette subfamily D member 3	protein-coding
O14678	ABCD4_HUMAN	5826	9606	ENSG00000119688	ABCD4	ATP binding cassette subfamily D member 4	protein-coding
P61221	ABCE1_HUMAN	6059	9606	ENSG00000164163	ABCE1	ATP binding cassette subfamily E member 1	protein-coding
Q8NE71	ABCF1_HUMAN	23	9606	ENSG00000204574	ABCF1	ATP binding cassette subfamily F member 1	protein-coding
Q8NE71	ABCF1_HUMAN	23	9606	ENSG00000206490	ABCF1	ATP binding cassette subfamily F member 1	protein-coding
Q8NE71	ABCF1_HUMAN	23	9606	ENSG00000236342	ABCF1	ATP binding cassette subfamily F member 1	protein-coding
Q8NE71	ABCF1_HUMAN	23	9606	ENSG00000232169	ABCF1	ATP binding cassette subfamily F member 1	protein-coding
Q8NE71	ABCF1_HUMAN	23	9606	ENSG00000225989	ABCF1	ATP binding cassette subfamily F member 1	protein-coding
Q8NE71	ABCF1_HUMAN	23	9606	ENSG00000231129	ABCF1	ATP binding cassette subfamily F member 1	protein-coding
Q8NE71	ABCF1_HUMAN	23	9606	ENSG00000236149	ABCF1	ATP binding cassette subfamily F member 1	protein-coding
Q9UG63	ABCF2_HUMAN	10061	9606	ENSG00000033050	ABCF2	ATP binding cassette subfamily F member 2	protein-coding
Q9UG63	ABCF2_HUMAN	114483834	9606	ENSG00000033050	ABCF2-H2BE1	ABCF2-H2BE1 readthrough	protein-coding
Q9NUQ8	ABCF3_HUMAN	55324	9606	ENSG00000161204	ABCF3	ATP binding cassette subfamily F member 3	protein-coding
P45844	ABCG1_HUMAN	9619	9606	ENSG00000160179	ABCG1	ATP binding cassette subfamily G member 1	protein-coding
Q9UNQ0	ABCG2_HUMAN	9429	9606	ENSG00000118777	ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding
Q9H172	ABCG4_HUMAN	64137	9606	ENSG00000172350	ABCG4	ATP binding cassette subfamily G member 4	protein-coding
Q9H222	ABCG5_HUMAN	64240	9606	ENSG00000138075	ABCG5	ATP binding cassette subfamily G member 5	protein-coding
Q9H221	ABCG8_HUMAN	64241	9606	ENSG00000143921	ABCG8	ATP binding cassette subfamily G member 8	protein-coding
Q8N2K0	ABD12_HUMAN	26090	9606	ENSG00000100997	ABHD12	abhydrolase domain containing 12, lysophospholipase	protein-coding
P41238	ABEC1_HUMAN	339	9606	ENSG00000111701	APOBEC1	apolipoprotein B mRNA editing enzyme catalytic subunit 1	protein-coding
Q9Y235	ABEC2_HUMAN	10930	9606	ENSG00000124701	APOBEC2	apolipoprotein B mRNA editing enzyme catalytic subunit 2	protein-coding
Q8WW27	ABEC4_HUMAN	403314	9606	ENSG00000173627	APOBEC4	apolipoprotein B mRNA editing enzyme catalytic polypeptide like 4	protein-coding
Q6UXT9	ABH15_HUMAN	116236	9606	ENSG00000168792	ABHD15	abhydrolase domain containing 15	protein-coding
Q96SE0	ABHD1_HUMAN	84696	9606	ENSG00000143994	ABHD1	abhydrolase domain containing 1	protein-coding
P08910	ABHD2_HUMAN	11057	9606	ENSG00000140526	ABHD2	abhydrolase domain containing 2, acylglycerol lipase	protein-coding
Q8WU67	ABHD3_HUMAN	171586	9606	ENSG00000158201	ABHD3	abhydrolase domain containing 3, phospholipase	protein-coding
Q8TB40	ABHD4_HUMAN	63874	9606	ENSG00000100439	ABHD4	abhydrolase domain containing 4, N-acyl phospholipase B	protein-coding
Q8WTS1	ABHD5_HUMAN	51099	9606	ENSG00000011198	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	protein-coding
Q9BV23	ABHD6_HUMAN	57406	9606	ENSG00000163686	ABHD6	abhydrolase domain containing 6, acylglycerol lipase	protein-coding
Q96I13	ABHD8_HUMAN	79575	9606	ENSG00000127220	ABHD8	abhydrolase domain containing 8	protein-coding
Q9NUJ1	ABHDA_HUMAN	55347	9606	ENSG00000144827	ABHD10	abhydrolase domain containing 10, depalmitoylase	protein-coding
Q8NFV4	ABHDB_HUMAN	83451	9606	ENSG00000106077	ABHD11	abhydrolase domain containing 11	protein-coding
Q7L211	ABHDD_HUMAN	84945	9606	ENSG00000139826	ABHD13	abhydrolase domain containing 13	protein-coding
Q9BUJ0	ABHEA_HUMAN	25864	9606	ENSG00000248487	ABHD14A	abhydrolase domain containing 14A	protein-coding
Q96IU4	ABHEB_HUMAN	84836	9606	ENSG00000114779	ABHD14B	abhydrolase domain containing 14B	protein-coding
O95870	ABHGA_HUMAN	7920	9606	ENSG00000204427	ABHD16A	abhydrolase domain containing 16A, phospholipase	protein-coding
O95870	ABHGA_HUMAN	7920	9606	ENSG00000206403	ABHD16A	abhydrolase domain containing 16A, phospholipase	protein-coding
O95870	ABHGA_HUMAN	7920	9606	ENSG00000230475	ABHD16A	abhydrolase domain containing 16A, phospholipase	protein-coding
O95870	ABHGA_HUMAN	7920	9606	ENSG00000236063	ABHD16A	abhydrolase domain containing 16A, phospholipase	protein-coding
O95870	ABHGA_HUMAN	7920	9606	ENSG00000235676	ABHD16A	abhydrolase domain containing 16A, phospholipase	protein-coding
O95870	ABHGA_HUMAN	7920	9606	ENSG00000231488	ABHD16A	abhydrolase domain containing 16A, phospholipase	protein-coding
O95870	ABHGA_HUMAN	7920	9606	ENSG00000224552	ABHD16A	abhydrolase domain containing 16A, phospholipase	protein-coding
Q9H3Z7	ABHGB_HUMAN	140701	9606	ENSG00000183260	ABHD16B	abhydrolase domain containing 16B	protein-coding
Q8IZP0	ABI1_HUMAN	10006	9606	ENSG00000136754	ABI1	abl interactor 1	protein-coding
Q9NYB9	ABI2_HUMAN	10152	9606	ENSG00000138443	ABI2	abl interactor 2	protein-coding
Q9P2A4	ABI3_HUMAN	51225	9606	ENSG00000108798	ABI3	ABI family member 3	protein-coding
Q9NX38	ABITM_HUMAN	54942	9606	ENSG00000119328	ABITRAM	actin binding transcription modulator	protein-coding
P00519	ABL1_HUMAN	25	9606	ENSG00000097007	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	protein-coding
P42684	ABL2_HUMAN	27	9606	ENSG00000143322	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	protein-coding
O14639	ABLM1_HUMAN	3983	9606	ENSG00000099204	ABLIM1	actin binding LIM protein 1	protein-coding
Q6H8Q1	ABLM2_HUMAN	84448	9606	ENSG00000163995	ABLIM2	actin binding LIM protein family member 2	protein-coding
O94929	ABLM3_HUMAN	22885	9606	ENSG00000173210	ABLIM3	actin binding LIM protein family member 3	protein-coding
Q9P1F3	ABRAL_HUMAN	58527	9606	ENSG00000146386	ABRACL	ABRA C-terminal like	protein-coding
Q8N0Z2	ABRA_HUMAN	137735	9606	ENSG00000174429	ABRA	actin binding Rho activating protein	protein-coding
Q6UWZ7	ABRX1_HUMAN	84142	9606	ENSG00000163322	ABRAXAS1	abraxas 1, BRCA1 A complex subunit	protein-coding
Q15018	ABRX2_HUMAN	23172	9606	ENSG00000165660	ABRAXAS2	abraxas 2, BRISC complex subunit	protein-coding
Q12979	ABR_HUMAN	29	9606	ENSG00000159842	ABR	ABR activator of RhoGEF and GTPase	protein-coding
Q12979	ABR_HUMAN	29	9606	ENSG00000276016	ABR	ABR activator of RhoGEF and GTPase	protein-coding
Q12979	ABR_HUMAN	29	9606	ENSG00000278741	ABR	ABR activator of RhoGEF and GTPase	protein-coding
